Case ID,JiraId,Tags,Primary tag,Case,Issue2 Incomplete procedure,Issue3 Role/cross-app,Issue4 Unclear Expected/screens,Other-issue count,Clean of issues 2-4,Agent category tag?,Steps chars,Step count,Expected chars,Has login wording,Has hover wording,CSV field count,Gold closeness,Depth % of gold median
366530,FD-42729,customersearch,customersearch,Verify all supported Payment Term options can be selected and saved on Sales Lead,Y,Y,N,2,N,N,155,4,74,N,N,0,10.9,4.2
7758,FD-33010,receivables,receivables,Validate report data updates according to the selected office group.,Y,N,N,1,N,N,63,2,87,N,N,0,9.6,1.7
262094,FD-43175,handlingunit,handlingunit,"Verify Banyan tare redistribution payload reflects posted HU edits, not pre-save DB values",Y,N,N,1,N,N,250,1,196,N,N,2,9.1,6.8
262085,FD-43175,handlingunit,handlingunit,"Verify that when the visibility gate fails, existing HU rows survive save unchanged with no false history and no Banyan ",Y,N,N,1,N,N,579,0,116,N,N,2,8.9,15.7
366500,FD-35902,"customers,leads",customers,Verify CLEARED status option is NOT available for user without Finance+ auth and without CREDIT_MANAGER role,Y,Y,N,2,N,N,214,3,133,N,N,0,8.8,5.8
7888,FD-33444,newlead,newlead,Verify the  'Allow AI to Negotiate' field is only visible when the associated office has Enable AI Negotiation = YES.,Y,N,N,1,N,N,121,2,111,N,N,0,7.4,3.3
278607,FD-43182,"go2,handlingunit",go2,Verify mixed HU types (pallets and drums) render correctly.,Y,N,N,1,N,N,58,3,69,N,N,0,6.8,1.6
262204,FD-32499,reports,reports,Validate data is in range of the dates when S-F is selected,Y,N,N,1,N,N,26,0,32,N,N,0,6.6,0.7
278610,FD-43182,"go2,handlingunit",go2,Verify grand totals accuracy including tare weight.,Y,N,N,1,N,N,51,3,51,N,N,0,6.5,1.4
278617,FD-43182,"go2,handlingunit",go2,Verify hu_enabled toggle applies retroactively.,Y,N,N,1,N,N,56,3,47,N,N,0,6.5,1.5
278618,FD-43182,"go2,handlingunit",go2,Verify reference load behavior under both flag states.,Y,N,N,1,N,N,47,2,40,N,N,1,5.9,1.3
278614,FD-43182,"go2,handlingunit",go2,Verify non-LTL/ELTL loads ignore HU feature.,Y,N,N,1,N,N,35,2,38,N,N,1,5.8,0.9
278615,FD-43182,"go2,handlingunit",go2,Verify multi-stop loads ignore HU feature.,Y,N,N,1,N,N,35,2,38,N,N,0,5.8,0.9
262079,FD-43175,handlingunit,handlingunit,"Verify that when a user manually edits the Tare Wt field, subsequent Type changes should NOT overwrite the user-entered ",Y,N,N,1,N,N,134,0,111,N,N,2,5.5,3.6
7809,FD-33358,loadreports,loadreports,Verify that the report updates properly when the Operational Office filter is applied for Load Detail for Office reports,Y,N,Y,2,N,N,266,5,131,N,N,0,5.2,7.2
350041,FD-34572,carrierportal,carrierportal,Verify load detail page displays correctly,Y,Y,N,2,N,Y,84,3,96,N,N,0,4.3,2.3
286917,FD-43535,masterbilling,masterbilling,Verify multiple Additional Del Pref values are displayed when multiple checkboxes are selected along with Portal Link di,Y,N,N,1,N,N,232,0,169,N,N,1,4.0,6.3
7770,FD-32549,rateandmatch,rateandmatch,Verify that UI element is displayed once one intermediate stop is removed,Y,N,N,1,N,N,132,2,68,N,N,0,3.9,3.6
336391,FD-44421,"agentsearch,reports",agentsearch,Verify Summary filter when toggle NO,Y,N,N,1,N,N,24,0,25,N,N,0,3.5,0.6
336392,FD-44421,"agentsearch,reports",agentsearch,Verify Summary filter when toggle YES,Y,N,N,1,N,N,25,0,24,N,N,0,3.5,0.7
336395,FD-44421,"agentsearch,reports",agentsearch,Verify standard pay agent unaffected,Y,N,N,1,N,N,19,0,30,N,N,0,3.5,0.5
336398,FD-44421,"agentsearch,reports",agentsearch,Verify Details filter when toggle NO,Y,N,N,1,N,N,24,0,25,N,N,0,3.5,0.6
336399,FD-44421,"agentsearch,reports",agentsearch,Verify Details filter when toggle YES,Y,N,N,1,N,N,25,0,24,N,N,0,3.5,0.7
7860,FD-33040,search,search,Ensure the progress indicator  next state is 'View Results' after the 'Changes Complete' state.,Y,Y,N,2,N,N,124,1,68,N,N,0,3.5,3.4
